famsize;Pstatus;Medu;Fedu;Mjob;Fjob;guardian;studytime;schoolsup;famsup;paid;activities;nursery;higher;internet;freetime;health;OutMarker;OutMarker2;OutMarker3
LE3;T;2;4;services;services;father;2;no;no;no;yes;yes;yes;yes;3;5;14;15;15
GT3;T;4;4;services;teacher;mother;1;no;no;no;no;yes;yes;yes;2;5;17;15;16
LE3;T;3;3;teacher;other;father;1;no;yes;yes;yes;yes;yes;yes;3;3;9;9;10
GT3;T;4;4;services;teacher;mother;1;no;yes;no;no;yes;yes;yes;2;2;18;18;18
LE3;T;4;4;teacher;teacher;mother;2;no;yes;yes;no;yes;yes;yes;5;3;9;9;10
GT3;T;4;3;health;other;mother;2;no;yes;no;yes;yes;yes;yes;3;2;16;16;16
GT3;T;2;3;other;other;mother;2;yes;yes;yes;yes;yes;yes;no;4;4;8;10;10
GT3;T;1;1;other;other;mother;2;no;yes;yes;no;no;yes;no;4;1;9;9;10
GT3;T;2;2;other;other;mother;1;no;yes;no;no;yes;yes;yes;3;3;7;6;6
GT3;T;2;2;services;services;mother;4;no;yes;yes;yes;no;yes;yes;3;5;10;10;11
GT3;T;3;4;at_home;services;mother;3;no;yes;yes;no;yes;yes;yes;4;5;10;9;9
GT3;A;3;1;services;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;7;7;7
GT3;T;4;3;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;3;1;11;12;13
GT3;T;1;1;at_home;other;mother;1;no;yes;yes;no;yes;yes;no;3;5;9;9;10
GT3;T;4;3;teacher;other;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;7;7;7
GT3;T;3;3;other;other;other;4;no;yes;yes;yes;yes;yes;yes;3;3;8;8;8
LE3;T;4;4;services;other;mother;2;no;yes;yes;no;yes;yes;yes;3;3;12;12;13
GT3;A;2;2;other;other;mother;2;yes;yes;yes;no;yes;yes;yes;3;4;12;13;14
GT3;T;2;2;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;6;7;8
LE3;T;4;4;services;other;mother;1;no;yes;yes;no;yes;yes;no;2;3;8;10;10
LE3;T;3;2;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;1;14;15;15
GT3;T;4;3;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;1;6;6;4
LE3;T;3;3;services;health;father;2;no;yes;yes;no;yes;yes;yes;2;4;6;6;8
GT3;T;2;3;at_home;other;father;1;no;yes;yes;no;yes;yes;no;3;3;7;7;8
GT3;T;2;2;at_home;at_home;mother;3;no;yes;yes;yes;yes;yes;yes;3;4;9;10;10
GT3;T;2;1;at_home;services;mother;2;no;yes;no;yes;yes;yes;yes;2;5;6;6;6
GT3;T;1;1;at_home;other;mother;3;no;yes;no;yes;yes;yes;no;3;5;6;5;0
GT3;T;2;3;services;teacher;mother;2;yes;no;no;no;yes;yes;yes;3;3;16;16;17
GT3;T;2;2;other;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;12;13;13
GT3;T;4;4;teacher;services;mother;3;no;yes;no;yes;no;yes;yes;3;5;13;13;14
GT3;T;3;1;other;other;mother;2;no;no;no;yes;yes;yes;yes;3;4;9;8;7
GT3;T;3;2;other;other;mother;2;no;no;no;yes;no;yes;yes;3;3;16;15;15
LE3;T;2;3;services;services;father;2;no;yes;yes;no;no;yes;yes;3;3;12;11;12
LE3;T;2;1;at_home;other;mother;2;yes;yes;yes;yes;yes;yes;yes;3;3;10;8;9
GT3;A;2;1;other;other;mother;3;no;no;no;yes;yes;yes;yes;2;3;12;10;12
LE3;T;4;3;health;other;father;2;no;no;no;yes;yes;yes;yes;2;3;13;13;14
GT3;T;2;2;other;other;father;2;no;yes;yes;yes;yes;yes;yes;5;1;11;11;11
GT3;T;4;4;teacher;teacher;mother;2;yes;yes;no;yes;yes;yes;yes;5;2;11;9;9
GT3;T;4;4;health;other;father;2;no;yes;yes;yes;yes;yes;yes;2;1;14;13;13
LE3;T;1;1;other;other;mother;2;no;yes;yes;no;yes;yes;yes;4;5;9;7;6
GT3;T;3;2;at_home;other;mother;3;no;no;no;yes;yes;yes;yes;3;2;11;9;10
LE3;T;2;2;other;other;father;2;no;no;yes;yes;no;yes;yes;4;4;14;13;13
GT3;T;2;1;other;other;mother;1;no;no;no;no;yes;yes;yes;5;5;13;12;12
GT3;T;2;1;at_home;services;mother;2;no;no;no;yes;yes;yes;no;1;3;13;11;11
GT3;T;2;2;other;services;father;2;no;no;no;no;yes;no;yes;5;2;7;7;0
LE3;T;4;3;health;other;mother;2;no;no;no;yes;yes;yes;yes;5;5;12;12;12
LE3;A;4;4;teacher;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;10;11;12
LE3;T;4;3;teacher;other;mother;1;no;no;no;yes;no;yes;yes;4;3;6;0;0
GT3;T;4;4;services;services;mother;1;no;no;no;yes;yes;yes;yes;3;5;13;12;12
GT3;T;2;1;other;other;other;3;no;yes;yes;no;no;yes;yes;4;3;7;0;0
GT3;T;2;1;other;other;mother;1;no;no;no;no;yes;yes;yes;3;4;18;18;18
GT3;T;2;3;other;other;father;1;no;no;no;no;yes;yes;yes;2;2;12;12;13
GT3;T;3;1;services;services;mother;1;no;no;no;no;no;no;yes;4;1;6;8;8
LE3;T;3;3;other;services;mother;2;no;yes;no;no;yes;yes;yes;3;5;3;5;5
GT3;T;0;2;other;other;mother;1;no;no;yes;no;no;yes;yes;3;5;13;15;15
GT3;T;3;2;services;other;mother;1;no;no;no;no;yes;no;yes;4;5;6;8;8
GT3;T;3;3;at_home;other;other;2;yes;yes;no;no;no;yes;yes;3;2;7;10;10
GT3;T;2;1;services;services;mother;1;no;no;no;no;no;no;yes;2;5;6;9;8
GT3;T;2;1;other;other;mother;1;no;no;no;yes;no;yes;no;3;3;8;9;8
GT3;T;2;1;other;other;mother;1;no;no;no;no;no;yes;yes;4;5;8;12;12
LE3;T;1;1;health;other;mother;1;no;yes;no;yes;yes;yes;yes;4;5;7;9;8
LE3;T;4;2;teacher;services;mother;4;no;yes;yes;yes;yes;yes;yes;2;4;14;12;13
LE3;A;4;3;services;at_home;mother;2;no;yes;no;no;yes;yes;yes;3;1;11;11;11
GT3;T;2;1;other;other;mother;2;no;no;no;yes;yes;yes;yes;2;4;15;14;14
LE3;T;2;2;services;services;father;4;no;no;yes;yes;yes;yes;yes;4;2;10;9;0
GT3;T;4;3;services;other;father;2;no;yes;yes;no;yes;yes;yes;1;2;17;18;18
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;no;no;yes;yes;3;3;8;8;8
GT3;T;3;2;other;other;mother;3;no;no;no;yes;no;yes;no;3;3;13;12;12
GT3;T;3;3;other;other;mother;3;no;no;no;yes;no;yes;no;2;4;10;9;9
GT3;T;2;2;at_home;services;mother;3;no;yes;yes;yes;yes;yes;yes;3;3;9;10;0
LE3;A;3;4;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;2;1;17;17;17
GT3;T;3;1;services;other;mother;2;no;no;yes;yes;yes;yes;yes;4;5;9;9;10
GT3;T;4;4;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;3;4;12;10;11
GT3;T;4;2;health;other;father;2;no;yes;yes;yes;yes;yes;yes;4;5;10;9;10
GT3;T;2;1;other;other;mother;2;no;yes;no;no;yes;no;yes;3;3;6;0;0
GT3;T;3;3;other;services;other;2;no;yes;yes;yes;yes;yes;yes;3;5;9;9;9
GT3;T;2;3;other;services;father;4;no;yes;yes;yes;yes;yes;yes;5;2;15;14;14
LE3;T;1;1;other;other;mother;2;no;yes;yes;no;no;yes;no;4;3;11;11;11
GT3;T;1;2;at_home;at_home;mother;2;no;yes;yes;yes;no;yes;no;5;1;15;14;14
GT3;T;2;4;at_home;health;mother;2;no;yes;yes;no;yes;yes;yes;3;1;10;10;10
LE3;T;2;2;services;other;mother;2;yes;yes;yes;no;yes;yes;yes;4;5;12;12;12
GT3;A;3;2;other;services;mother;2;no;no;no;no;no;no;yes;1;5;10;9;9
GT3;T;4;4;teacher;services;mother;1;no;no;yes;yes;yes;yes;yes;2;3;9;9;9
GT3;T;4;4;health;health;father;2;yes;yes;no;yes;yes;yes;yes;4;4;9;8;8
LE3;T;4;3;teacher;services;mother;1;no;no;yes;yes;yes;yes;yes;2;1;10;11;10
LE3;A;4;1;services;other;mother;1;no;no;yes;yes;yes;yes;yes;5;5;8;8;8
LE3;A;3;2;teacher;services;mother;1;no;no;no;no;yes;yes;yes;4;3;11;9;10
LE3;T;1;1;at_home;other;mother;4;no;yes;yes;yes;yes;yes;no;2;3;12;12;12
GT3;T;1;1;other;other;mother;2;yes;no;no;yes;yes;yes;yes;4;4;8;9;10
GT3;T;2;2;other;other;mother;2;no;yes;no;no;no;yes;yes;4;5;10;9;11
GT3;T;1;1;other;other;father;2;no;no;yes;no;no;yes;yes;3;4;12;10;11
GT3;T;2;2;at_home;at_home;mother;3;no;yes;yes;no;yes;yes;yes;3;2;18;18;19
GT3;T;1;1;services;teacher;mother;3;no;yes;yes;no;yes;yes;yes;3;3;13;12;12
GT3;T;2;1;services;services;mother;3;no;no;yes;yes;yes;yes;yes;2;2;15;14;14
LE3;A;4;4;teacher;teacher;mother;2;no;yes;yes;yes;yes;yes;yes;4;2;15;13;15
GT3;T;4;2;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;3;5;12;11;11
GT3;T;4;3;health;services;mother;3;no;yes;yes;no;yes;yes;yes;2;3;15;15;15
LE3;T;2;1;services;at_home;mother;2;no;no;no;no;yes;yes;yes;4;5;12;12;13
LE3;T;3;1;services;other;mother;4;no;yes;yes;no;yes;yes;no;1;3;18;18;18
LE3;T;3;2;services;other;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;14;13;14
GT3;T;3;3;health;other;mother;1;no;yes;yes;no;yes;yes;yes;4;5;14;12;11
GT3;T;4;4;health;other;other;2;no;yes;yes;yes;yes;yes;yes;3;2;10;9;0
LE3;T;4;3;other;other;other;2;no;yes;yes;no;yes;yes;yes;4;2;10;8;8
GT3;T;4;3;other;other;father;4;no;yes;yes;no;yes;yes;yes;3;3;14;13;14
LE3;T;4;4;teacher;teacher;mother;1;no;yes;yes;no;yes;yes;yes;4;1;16;15;16
LE3;A;4;4;health;other;mother;2;no;yes;no;no;yes;yes;yes;2;4;12;10;11
LE3;T;4;4;other;teacher;father;1;no;no;yes;no;yes;yes;yes;1;5;11;11;10
GT3;T;4;2;other;other;mother;3;no;yes;yes;no;yes;yes;yes;3;3;15;12;14
GT3;T;3;2;health;health;father;4;no;yes;yes;yes;no;yes;yes;2;5;17;17;18
GT3;T;3;3;other;other;other;2;no;yes;no;yes;yes;yes;yes;4;3;15;14;13
GT3;T;2;4;services;at_home;other;2;no;yes;yes;yes;yes;yes;yes;4;3;14;12;12
GT3;A;3;2;services;other;other;1;no;no;no;yes;yes;yes;no;5;5;17;18;18
GT3;T;4;4;teacher;services;other;1;no;yes;yes;no;yes;yes;yes;3;4;8;9;8
GT3;T;3;3;other;services;father;2;no;no;no;yes;yes;yes;no;5;5;15;12;12
LE3;T;1;1;at_home;other;other;2;yes;yes;no;yes;no;yes;yes;4;3;12;10;10
LE3;T;1;2;services;services;other;2;no;no;no;yes;no;yes;no;2;3;9;9;0
GT3;T;2;1;at_home;other;other;2;no;yes;no;no;yes;no;yes;4;2;14;12;13
GT3;T;1;2;other;services;other;2;no;no;no;no;no;yes;yes;5;4;13;11;11
LE3;T;3;2;services;other;other;2;no;yes;yes;no;no;yes;yes;2;1;13;10;11
GT3;T;1;1;at_home;health;other;3;no;no;no;no;no;yes;yes;1;3;15;13;13
GT3;T;2;3;other;other;other;3;no;no;no;no;yes;yes;yes;1;3;13;11;11
GT3;T;2;1;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;3;1;8;8;0
GT3;T;4;3;other;other;mother;3;no;yes;yes;yes;yes;yes;yes;3;5;9;10;9
GT3;T;3;4;at_home;services;father;3;no;yes;yes;yes;no;yes;yes;3;5;11;11;10
GT3;T;4;4;teacher;other;mother;2;no;yes;yes;no;yes;yes;yes;4;5;11;11;11
GT3;A;4;3;services;services;mother;2;no;yes;yes;no;yes;yes;yes;2;5;13;13;13
GT3;T;2;2;other;other;mother;2;no;yes;no;no;yes;yes;no;2;3;11;9;9
LE3;T;2;2;services;services;mother;3;no;yes;yes;yes;yes;yes;yes;3;3;11;11;11
GT3;T;3;1;services;services;father;3;no;yes;no;no;no;yes;yes;4;5;12;14;15
LE3;T;0;2;at_home;at_home;father;3;no;no;no;no;yes;yes;yes;3;2;16;15;15
GT3;T;4;4;other;other;mother;3;no;no;no;yes;yes;yes;yes;3;3;9;12;11
GT3;T;3;3;other;services;mother;1;no;no;no;yes;no;yes;yes;3;5;14;15;16
GT3;T;2;2;services;other;mother;1;no;yes;no;no;yes;yes;yes;4;4;11;10;10
GT3;T;4;4;teacher;services;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;10;9;9
GT3;T;4;4;teacher;teacher;mother;3;no;yes;yes;no;no;yes;yes;3;4;14;14;14
LE3;T;2;2;other;other;mother;4;no;yes;no;yes;yes;yes;yes;5;5;9;8;8
GT3;T;2;4;at_home;other;father;3;no;yes;no;no;yes;yes;yes;4;5;12;14;14
GT3;T;3;3;services;services;mother;2;no;no;no;yes;yes;yes;yes;3;4;7;0;0
LE3;T;2;2;other;other;other;2;no;no;no;yes;no;yes;yes;3;2;8;8;0
GT3;T;2;2;at_home;other;mother;4;no;no;no;yes;yes;yes;no;4;4;10;9;0
GT3;T;3;4;services;other;mother;3;no;no;no;no;yes;yes;yes;4;5;16;15;15
GT3;A;3;1;services;at_home;other;3;no;no;yes;no;yes;yes;no;4;5;14;13;13
GT3;T;3;2;other;other;mother;2;no;yes;yes;no;yes;yes;yes;3;2;7;8;0
LE3;T;3;3;services;services;mother;4;no;yes;no;no;yes;yes;yes;3;1;16;15;17
GT3;A;3;2;other;other;mother;2;no;yes;yes;no;yes;yes;yes;3;2;9;10;10
GT3;T;2;1;services;services;other;3;no;no;yes;yes;yes;yes;yes;3;3;11;12;11
GT3;T;4;4;teacher;services;father;2;no;yes;no;yes;yes;yes;yes;3;2;10;10;0
LE3;T;3;4;services;other;mother;2;no;no;no;yes;yes;yes;yes;3;5;16;15;15
GT3;A;2;2;at_home;at_home;father;2;no;yes;no;no;yes;yes;yes;3;4;9;8;0
GT3;T;2;3;at_home;other;mother;3;no;yes;no;no;yes;yes;yes;3;3;11;10;10
GT3;T;3;2;other;services;mother;3;no;no;no;no;yes;yes;yes;4;1;13;13;14
GT3;T;4;3;teacher;services;mother;3;no;no;no;no;yes;yes;yes;3;4;16;15;16
GT3;T;4;3;teacher;other;mother;3;no;yes;yes;no;yes;yes;yes;4;5;10;10;9
GT3;T;4;3;health;other;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;13;15;15
GT3;T;3;2;other;other;mother;1;no;yes;no;no;no;yes;yes;5;5;11;13;13
GT3;T;1;1;other;services;other;2;no;no;no;no;yes;yes;yes;4;2;8;7;8
GT3;T;3;3;health;other;mother;2;no;yes;yes;no;yes;yes;yes;5;3;13;13;13
LE3;T;1;3;at_home;services;mother;1;no;no;no;no;yes;no;yes;3;3;8;7;8
GT3;T;1;1;other;other;other;1;no;yes;no;no;yes;yes;yes;4;5;8;8;8
GT3;T;4;3;services;other;mother;2;no;yes;yes;yes;no;yes;yes;5;2;13;11;11
GT3;T;3;3;services;services;father;2;no;yes;no;no;yes;yes;no;3;5;10;9;9
GT3;T;4;4;teacher;services;father;2;no;yes;yes;yes;yes;yes;yes;3;5;12;13;13
LE3;A;3;2;services;other;mother;2;no;no;no;no;yes;yes;no;2;5;12;12;11
LE3;T;1;1;other;services;father;1;no;no;no;no;no;yes;yes;3;3;10;10;10
LE3;T;1;1;at_home;services;father;3;no;no;no;no;yes;yes;yes;3;4;18;16;16
LE3;A;1;4;at_home;other;mother;2;no;no;no;no;yes;yes;no;3;5;13;13;13
LE3;T;1;1;at_home;other;mother;2;no;no;no;yes;no;no;no;4;5;13;12;12
GT3;T;3;3;services;services;mother;2;no;yes;no;no;yes;yes;yes;3;3;11;11;10
LE3;T;4;4;at_home;at_home;mother;2;no;yes;yes;yes;yes;yes;yes;3;1;16;15;15
GT3;T;1;2;other;services;father;2;no;no;no;no;no;yes;no;2;3;12;11;12
GT3;T;1;3;at_home;other;mother;2;no;yes;yes;no;yes;yes;no;3;3;10;10;10
LE3;T;4;4;teacher;services;mother;3;no;no;yes;no;yes;yes;yes;2;5;13;13;13
GT3;T;1;1;other;services;mother;1;no;yes;yes;no;yes;yes;yes;2;1;7;6;0
GT3;T;2;3;at_home;services;father;1;no;yes;yes;no;yes;yes;yes;2;4;11;10;10
GT3;T;4;4;other;teacher;father;2;no;yes;yes;no;no;yes;yes;2;5;14;12;11
LE3;T;3;2;services;services;other;2;no;no;no;yes;yes;yes;no;2;3;7;7;9
LE3;T;1;2;at_home;services;father;1;no;yes;yes;yes;yes;no;yes;3;3;14;12;12
GT3;T;2;2;other;at_home;mother;3;no;no;no;yes;yes;yes;no;4;3;13;11;11
GT3;T;1;2;other;other;mother;1;no;no;no;yes;yes;yes;yes;5;1;6;5;5
LE3;T;4;4;other;other;mother;3;no;no;no;no;yes;yes;yes;4;1;19;18;19
GT3;T;1;1;other;other;mother;3;no;no;no;no;yes;yes;yes;3;4;8;8;10
GT3;T;4;2;health;other;other;3;no;yes;yes;no;no;yes;yes;4;3;15;14;15
LE3;T;4;4;teacher;services;mother;2;no;no;yes;yes;yes;yes;yes;4;2;8;9;10
GT3;T;3;3;other;other;mother;2;no;no;yes;no;yes;yes;yes;1;1;15;15;15
GT3;T;3;1;at_home;other;mother;2;no;yes;yes;yes;no;yes;yes;5;1;10;10;10
GT3;T;4;4;teacher;teacher;father;2;no;no;yes;yes;no;yes;yes;2;2;15;14;14
GT3;T;2;1;other;other;mother;1;no;no;no;yes;no;yes;yes;4;5;7;6;7
GT3;T;2;3;other;services;father;2;no;no;no;yes;yes;yes;yes;4;3;11;11;10
GT3;T;1;1;other;services;mother;1;no;no;no;no;yes;yes;no;3;5;6;5;0
GT3;T;4;2;other;other;father;1;no;no;yes;no;yes;yes;no;4;3;6;5;5
GT3;T;2;2;at_home;other;mother;3;no;no;yes;no;yes;yes;no;3;4;10;9;10
GT3;T;4;4;teacher;at_home;mother;1;no;yes;yes;yes;yes;yes;yes;4;5;6;5;6
GT3;T;2;3;services;other;mother;3;no;no;no;yes;no;yes;yes;4;5;7;5;0
LE3;T;3;1;teacher;services;mother;2;no;yes;yes;no;yes;yes;yes;3;1;7;9;8
GT3;T;1;1;other;other;mother;2;no;no;no;yes;yes;yes;no;1;5;6;5;0
LE3;A;2;2;services;services;other;2;no;yes;yes;no;yes;yes;no;5;4;9;9;9
LE3;T;3;1;services;services;mother;1;no;no;no;no;no;yes;yes;4;2;14;16;16
GT3;T;1;1;other;other;other;1;no;no;no;no;no;yes;no;5;3;10;8;7
LE3;T;3;2;services;other;mother;1;no;no;no;no;no;yes;yes;4;5;11;12;10
LE3;T;1;1;other;at_home;father;1;no;no;no;no;yes;yes;yes;2;5;8;9;9
